estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
IA;O'Brien County, IA;233;261;418;379;339;306;294;271;243;236;298
IA;Osceola County, IA;111;131;205;181;157;140;131;116;103;100;138
IA;Page County, IA;384;393;675;483;391;359;348;296;277;332;394
IA;Palo Alto County, IA;183;232;377;292;224;203;180;177;153;158;218
IA;Plymouth County, IA;439;482;675;652;635;581;582;508;425;391;537
IA;Pocahontas County, IA;131;135;237;207;179;168;160;152;134;126;163
IA;Polk County, IA;8270;9803;14956;14601;13767;12649;12100;10924;9576;9057;11570
IA;Pottawattamie County, IA;2044;2068;2468;2907;2768;2451;2232;2132;1826;1668;2256
IA;Poweshiek County, IA;420;481;702;612;579;494;481;448;387;366;497
IA;Ringgold County, IA;102;111;136;123;119;112;108;99;88;93;109
IA;Sac County, IA;199;216;295;267;248;233;233;220;192;170;227
IA;Scott County, IA;3317;3850;6410;5779;5342;5003;4946;4659;4184;3999;4749
IA;Shelby County, IA;244;233;304;300;290;263;262;223;205;206;253
IA;Sioux County, IA;489;559;859;771;719;669;679;597;520;486;635
IA;Story County, IA;1331;1555;2340;2240;2096;1902;1833;1652;1463;1348;1776
IA;Tama County, IA;389;479;648;602;561;545;509;492;429;417;507
IA;Taylor County, IA;136;136;232;177;149;128;121;120;105;97;140
IA;Union County, IA;268;308;457;396;366;347;338;324;280;252;334
IA;Van Buren County, IA;168;193;339;289;243;220;212;179;159;145;215
IA;Wapello County, IA;816;952;1653;1454;1296;1243;1152;1006;945;1061;1158
IA;Warren County, IA;831;982;1522;1486;1345;1235;1189;1071;932;876;1147
IA;Washington County, IA;407;492;662;633;577;511;464;448;394;370;496
IA;Wayne County, IA;145;137;205;177;156;152;148;146;114;110;149
IA;Webster County, IA;785;877;1469;1397;1378;1217;1054;969;895;837;1088
IA;Winnebago County, IA;199;382;544;389;328;273;249;222;209;184;298
IA;Winneshiek County, IA;452;539;767;679;603;548;553;518;456;435;555
IA;Woodbury County, IA;2127;2162;3185;3684;3128;2836;2655;2478;2162;2027;2644
IA;Worth County, IA;169;240;321;315;274;230;217;193;172;150;228
IA;Wright County, IA;274;318;519;491;465;364;308;287;275;280;358
KS;Kansas;63009;69048;104334;105806;97005;85098;78923;67792;62401;61879;79530
KS;Allen County, KS;303;339;589;581;564;491;420;346;339;377;435
KS;Anderson County, KS;195;209;342;352;342;280;247;216;200;190;257
